Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
BTT 	2021-12-06 21:45:57 	2021-12-06 21:45:59 	0.00301800 	0.00303500 	0.5 	25.1% 	25.15% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 25  AppLatency: 0.0 sec  API Req: 810 / 2400   API Orders: 10 / 1200   Orders 10S: 3 / 300  PriceLag: 0.03% (KNC PriceLag: 0.04%) Latency: 273 / 273  Ping: 14 / 16 	Auto Price Down 	done 	-0.18 	0.98 	1.98 	7.4 	0.1 	7.54 	5.58 	4.04 	2.52 	0.06 	0 	0 	0.0 	0.0
BLZ 	2021-12-06 21:28:34 	2021-12-06 21:28:42 	0.24034000 	0.23818000 	-0.96 	-47.9% 	-47.91% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 19  AppLatency: 0.0 sec  API Req: 443 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (KNC PriceLag: 0.04%) Latency: 203 / 203  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.2389 BidEMA: 0.2389 LastPrice = 0.2390 BuyPrice = 0.2403 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.2387 All 	done 	0.21 	1.27 	2.14 	7.77 	0.51 	19.95 	3.79 	2.41 	1.32 	0.16 	0 	0 	0.0 	0.0
WAVES 	2021-12-06 09:53:55 	2021-12-06 09:54:01 	20.17400000 	20.10000000 	-0.42 	-21.3% 	-21.33% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 29  AppLatency: 0.0 sec  API Req: 905 / 2400   API Orders: 16 / 1200   Orders 10S: 5 / 300  PriceLag: 0.03% (BTT PriceLag: 0.04%) Latency: 210 / 210  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 20.093 BidEMA: 20.093 LastPrice = 20.101 BuyPrice = 20.174 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 20.134 All 	done 	0.28 	-1.43 	-5.7 	9.2 	0.95 	14.61 	4.15 	5.52 	2.93 	0.15 	0 	0 	0.0 	0.0
DYDX 	2021-12-06 02:33:17 	2021-12-06 02:33:20 	8.13400000 	8.09700000 	-0.26 	-10.3% 	-10.29% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 36  AppLatency: 0.1 sec  API Req: 250 / 2400   API Orders: 10 / 1200   Orders 10S: 2 / 300  PriceLag: 0.01% (DGB PriceLag: 0.03%) [OrderSize reduced by 100.00%: 100.00$ => 50.00$  ]  Latency: 196 / 196  Ping: 12 / 12 	StopLoss AutoActivated on price drop: BID = 8.1470 BidEMA: 8.1470 LastPrice = 8.1485 BuyPrice = 8.1340 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 8.1177 All 	done 	-0.97 	-0.96 	-7.03 	1.95 	4.52 	6.96 	3.06 	3.93 	2.6 	0.18 	0 	0 	0.0 	0.0
GTC 	2021-12-05 17:35:48 	2021-12-05 17:35:55 	10.36900000 	10.35400000 	-0.2 	-10.2% 	-10.23% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 42 Sys: 78  AppLatency: 1.0 sec  API Req: 677 / 2400   API Orders: 36 / 1200   Orders 10S: 17 / 300  PriceLag: 0.03% (DODO PriceLag: 0.05%) Latency: 274 / 274  Ping: 188 / 240 	StopLoss AutoActivated on price drop: BID = 10.393 BidEMA: 10.393 LastPrice = 10.397 BuyPrice = 10.369 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 10.369 All 	done 	-1.48 	-1.89 	-7.64 	0.43 	5.79 	13.19 	3.62 	2.66 	2.2 	0.34 	0 	0 	0.0 	0.0
XLM 	2021-12-05 17:13:54 	2021-12-05 17:13:55 	0.26053000 	0.26189000 	0.46 	23.1% 	23.09% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 44  AppLatency: 0.3 sec  API Req: 748 / 2400   API Orders: 9 / 1200   Orders 10S: 7 / 300  PriceLag: 0.03% (CTK PriceLag: 0.03%) Latency: 235 / 235  Ping: 15 / 19 	Auto Price Down 	done 	-0.69 	-0.7 	-6.12 	1.31 	2.54 	7.52 	3.43 	2.27 	1.97 	0.2 	0 	0 	0.0 	0.0
BZRX 	2021-12-05 17:07:52 	2021-12-05 17:07:55 	0.24210000 	0.24380000 	0.66 	33.1% 	33.1% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 48 Sys: 84  AppLatency: 0.8 sec  API Req: 784 / 2400   API Orders: 76 / 1200   Orders 10S: 2 / 300  PriceLag: 0.03% (XEM PriceLag: 0.04%) Latency: 401 / 401  Ping: 255 / 253 	Auto Price Down 	done 	-0.62 	-0.52 	-5.16 	0.04 	6.08 	9.19 	3.25 	4.19 	3.32 	0.44 	0 	0 	0.0 	0.0
DYDX 	2021-12-05 17:07:43 	2021-12-05 17:07:47 	8.63700000 	8.58900000 	-0.62 	-12.3% 	-12.31% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 42 Sys: 79  AppLatency: 1.1 sec  API Req: 630 / 2400   API Orders: 50 / 1200   Orders 10S: 12 / 300  PriceLag: 0.02% (NU PriceLag: 0.03%) Latency: 401 / 401  Ping: 292 / 297 	StopLoss AutoActivated on price drop: BID = 8.5740 BidEMA: 8.5740 LastPrice = 8.5835 BuyPrice = 8.6370 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 8.5765 All 	done 	-0.47 	-0.37 	-5.03 	0.16 	3.83 	5.94 	3.46 	3.74 	2.71 	0.37 	0 	0 	0.0 	0.0
GALA 	2021-12-05 17:04:40 	2021-12-05 17:04:42 	0.49483000 	0.49829000 	0.66 	13.2% 	13.18% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 17 Sys: 34  AppLatency: 0.2 sec  API Req: 549 / 2400   API Orders: 13 / 1200  PriceLag: 0.02% (XEM PriceLag: 0.04%) Latency: 267 / 267  Ping: 24 / 24 	Auto Price Down 	done 	-0.25 	-0.13 	-4.03 	0.66 	3.99 	9.48 	1.86 	3.43 	2.64 	0.16 	0 	0 	0.0 	0.0
MANA 	2021-12-05 11:08:54 	2021-12-05 11:08:55 	3.75600000 	3.78230000 	0.67 	33.0% 	33.0% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 16 Sys: 42  AppLatency: 0.1 sec  API Req: 738 / 2400   API Orders: 1 / 1200  PriceLag: 0.02% (XEM PriceLag: 0.04%) Latency: 394 / 394  Ping: 28 / 32 	Sell Price 	done 	-0.58 	1.31 	1.07 	1.22 	1.58 	5.39 	2.85 	3.11 	2.18 	0.47 	0 	0 	0.0 	0.0
