Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
GTC 	2021-11-30 05:37:06 	2021-11-30 05:37:06 	17.06800000 	17.19330000 	0.68 	33.7% 	33.68% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 18 Sys: 59  AppLatency: 0.0 sec  API Req: 98 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 218 / 218  Ping: 10 / 10 	Sell Price 	done 	-0.61 	-1.04 	-1.09 	1.32 	5.96 	7.04 	4.06 	5.18 	3.9 	0.31 	0 	0 	0.0 	0.0
THETA 	2021-11-29 02:02:17 	2021-11-29 02:02:20 	6.54000000 	6.57300000 	0.46 	23.2% 	23.22% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 35  AppLatency: 0.1 sec  API Req: 334 / 2400   API Orders: 28 / 1200   Orders 10S: 14 / 300  PriceLag: 0.01% (BAL PriceLag: 0.01%) Latency: 209 / 209  Ping: 16 / 15 	Auto Price Down 	done 	0.62 	5.12 	3.94 	2.74 	0 	4.78 	0.59 	1.61 	1.61 	0.27 	0.04 	0 	0.0 	0.0
GTC 	2021-11-28 14:02:04 	2021-11-28 14:02:09 	19.59000000 	19.64900000 	0.26 	13.1% 	13.05% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.3 sec  API Req: 61 / 2400   API Orders: 6 / 1200   Orders 10S: 5 / 300  PriceLag: 0.01% (ATOM PriceLag: 0.02%) Latency: 242 / 242  Ping: 10 / 10 	Auto Price Down 	done 	-0.05 	0 	-1.34 	0.04 	9.36 	12.66 	2.45 	2.98 	2.62 	0.08 	0 	0 	0.0 	0.0
ONE 	2021-11-28 04:38:57 	2021-11-28 04:39:05 	0.24150000 	0.24222000 	0.26 	12.9% 	12.9% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 22 Sys: 67  AppLatency: 0.1 sec  API Req: 832 / 2400   API Orders: 52 / 1200   Orders 10S: 19 / 300  PriceLag: 0.01% (KEEP PriceLag: 0.03%) Latency: 362 / 362  Ping: 425 / 517 	Auto Price Down 	done 	-0.75 	-1.57 	-6.08 	0.84 	3.75 	6.39 	2.83 	2.54 	1.73 	0.3 	0 	0 	0.0 	0.0
NU 	2021-11-27 22:42:05 	2021-11-27 22:42:13 	0.93760000 	0.93710000 	-0.11 	-2.3% 	-2.27% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 20 Sys: 65  AppLatency: 0.1 sec  API Req: 81 / 2400   API Orders: 3 / 1200   Orders 10S: 2 / 300  PriceLag: 0.01% (RAY PriceLag: 0.02%) Latency: 379 / 379  Ping: 44 / 48 	StopLoss AutoActivated on price drop: BID = 0.9380 BidEMA: 0.9380 LastPrice = 0.9382 BuyPrice = 0.9376 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.9376 All 	done 	-0.96 	-0.33 	-1.18 	1.33 	3.19 	6.95 	4.04 	3.51 	3.17 	0.32 	0 	0 	0.0 	0.0
1000SHIB 	2021-11-27 06:01:01 	2021-11-27 06:01:04 	0.03951400 	0.03971100 	0.46 	22.9% 	22.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 31 Sys: 55  AppLatency: 0.3 sec  API Req: 26 / 2400   API Orders: 1 / 1200  PriceLag: 0.02% (AXS PriceLag: 0.02%) Latency: 291 / 291  Ping: 11 / 11 	Auto Price Down 	done 	-0.12 	-1.31 	1.67 	3.96 	0.69 	4.69 	3.51 	3.1 	2.5 	0.17 	0.01 	0 	0.0 	0.0
FIL 	2021-11-27 04:02:05 	2021-11-27 04:02:07 	56.22500000 	56.50600000 	0.47 	23.0% 	22.98% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 16 Sys: 27  AppLatency: 0.1 sec  API Req: 50 / 2400   API Orders: 2 / 1200  PriceLag: 0.04% (DODO PriceLag: 0.04%) Latency: 207 / 207  Ping: 10 / 10 	Auto Price Down 	done 	0.12 	-2.12 	0.86 	6.41 	0.66 	9.94 	1.09 	1.81 	1.34 	0.06 	0 	0 	0.0 	0.0
ATA 	2021-11-27 03:36:28 	2021-11-27 03:36:45 	1.42620000 	1.42370000 	-0.23 	-4.7% 	-4.7% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 22 Sys: 33  AppLatency: 0.2 sec  API Req: 306 / 2400   API Orders: 2 / 1200  PriceLag: 0.01% (EOS PriceLag: 0.01%) Latency: 253 / 253  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.16% < 0.3%  | EMA(3sec, 1sec) = 0.16% < 0.4%  | EMA(3sec, 1sec) = 0.16%  EMA(3sec, 1sec) = 0.16% 	done 	0.14 	-2.25 	0.06 	8.3 	4.61 	27.68 	6.85 	4.25 	1.83 	0.14 	0 	0 	0.0 	0.0
LRC 	2021-11-26 17:18:59 	2021-11-26 17:19:06 	2.77814000 	2.78647000 	0.31 	13.0% 	12.99% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 32  AppLatency: 0.4 sec  API Req: 628 / 2400   API Orders: 10 / 1200   Orders 10S: 5 / 300  PriceLag: 0.02% (BAND PriceLag: 0.03%) [OrderSize increased by 20.00%: 100.00$ => 120.00$  ]  Latency: 454 / 454  Ping: 11 / 10 	Auto Price Down 	done 	-0.72 	-5.57 	-5.91 	2.12 	3.36 	9.55 	2.62 	2.56 	2 	0.14 	0 	0 	0.0 	0.0
GTC 	2021-11-26 17:11:50 	2021-11-26 17:12:01 	13.01100000 	12.99490000 	-0.18 	-9.2% 	-9.18% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 22 Sys: 33  AppLatency: 0.2 sec  API Req: 492 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 251 / 251  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.15% < 0.3%  | EMA(3sec, 1sec) = 0.15% < 0.4%  | EMA(3sec, 1sec) = 0.15%  EMA(3sec, 1sec) = 0.15% 	done 	-0.31 	-5.23 	-5.33 	8.65 	1.92 	25.75 	7.23 	3.84 	2.11 	0.16 	0 	0 	0.0 	0.0
GALA 	2021-11-26 15:30:56 	2021-11-26 15:31:00 	0.70297000 	0.70517000 	0.25 	5.1% 	5.06% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 22  AppLatency: 0.3 sec  API Req: 571 / 2400   API Orders: 20 / 1200   Orders 10S: 5 / 300  PriceLag: 0.01% (STMX PriceLag: 0.02%) Latency: 341 / 341  Ping: 10 / 10 	Auto Price Down 	done 	0.15 	-6.01 	-6.52 	9.42 	2.51 	14.27 	5.95 	2.66 	1.74 	0.21 	0 	0 	0.0 	0.0
GTC 	2021-11-26 14:45:09 	2021-11-26 14:45:14 	13.91400000 	13.92500000 	0.02 	1.0% 	0.95% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 20 Sys: 39  AppLatency: 0.1 sec  API Req: 106 / 2400   API Orders: 5 / 1200   Orders 10S: 4 / 300  PriceLag: 0.01% (BTT PriceLag: 0.02%) Latency: 258 / 258  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 13.913 BidEMA: 13.913 LastPrice = 13.921 BuyPrice = 13.914 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 13.914 All 	done 	-0.02 	-6.65 	-7.39 	21.07 	0.56 	25.75 	7.28 	5.26 	2.9 	0.14 	0 	0 	0.0 	0.0
CRV 	2021-11-26 14:33:58 	2021-11-26 14:34:05 	4.86200000 	4.87400000 	0.19 	9.3% 	9.33% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 18 Sys: 43  AppLatency: 0.1 sec  API Req: 855 / 2400   API Orders: 79 / 1200   Orders 10S: 15 / 300  PriceLag: 0.02% (BTT PriceLag: 0.02%) Latency: 297 / 297  Ping: 16 / 21 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.09% < 0.3%  | EMA(3sec, 1sec) = 0.08% < 0.4%  | EMA(3sec, 1sec) = 0.08%  EMA(3sec, 1sec) = 0.08% 	done 	0.55 	-6.11 	-6.95 	0.25 	4.49 	8.75 	1.11 	3.16 	3.16 	0.24 	0.01 	0 	0.0 	0.0
DYDX 	2021-11-26 13:48:22 	2021-11-26 13:48:26 	12.83000000 	12.84000000 	0.02 	0.4% 	0.36% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 100  AppLatency: 1.4 sec  API Req: 236 / 2400   API Orders: 3 / 1200   Orders 10S: 2 / 300  PriceLag: 0.10% (DYDX PriceLag: 0.10%) Latency: 336 / 336  Ping: 1928 / 1833 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.09% < 0.3%  | EMA(3sec, 1sec) = 0.10% < 0.4%  | EMA(3sec, 1sec) = 0.10%  EMA(3sec, 1sec) = 0.10% 	done 	-0.65 	-6.82 	-8.59 	0.69 	3 	19.94 	2.58 	2.63 	2.19 	0.5 	0.49 	0 	0.0 	0.0
CRV 	2021-11-26 13:30:43 	2021-11-26 13:30:52 	4.97700000 	4.99200000 	0.26 	13.1% 	13.06% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 25 Sys: 82  AppLatency: 0.7 sec  API Req: 821 / 2400   API Orders: 61 / 1200   Orders 10S: 4 / 300  PriceLag: 0.03% (XEM PriceLag: 0.03%) Latency: 411 / 411  Ping: 83 / 91 	Auto Price Down 	done 	0.55 	-5.58 	-7.25 	1.53 	2.58 	16.07 	3.3 	1.64 	1.57 	0.39 	0 	0 	0.0 	0.0
1000SHIB 	2021-11-26 11:54:22 	2021-11-26 11:54:26 	0.03815600 	0.03827000 	0.26 	12.9% 	12.93% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 45  AppLatency: 0.1 sec  API Req: 389 / 2400   API Orders: 11 / 1200   Orders 10S: 1 / 300  PriceLag: 0.03% (REN PriceLag: 0.03%) Latency: 247 / 247  Ping: 28 / 28 	Auto Price Down 	done 	-0.46 	-5.89 	-7.63 	6.16 	1.1 	20.67 	3.59 	3.27 	2.61 	0.38 	0 	0 	0.0 	0.0
ALICE 	2021-11-26 09:41:09 	2021-11-26 09:41:14 	21.89200000 	21.95800000 	0.26 	13.1% 	13.07% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 25 Sys: 72  AppLatency: 0.2 sec  API Req: 137 / 2400   API Orders: 14 / 1200   Orders 10S: 13 / 300  PriceLag: 0.01% (COTI PriceLag: 0.01%) Latency: 338 / 338  Ping: 55 / 55 	Auto Price Down 	done 	-0.66 	-2.13 	-1.59 	1.94 	1.87 	5.69 	2.47 	2.28 	1.79 	0.24 	0 	0 	0.0 	0.0
GALA 	2021-11-26 03:01:18 	2021-11-26 03:01:20 	0.82784000 	0.83316000 	0.58 	11.6% 	11.65% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 21 Sys: 69  AppLatency: 0.1 sec  API Req: 303 / 2400   API Orders: 1 / 1200  PriceLag: 0.01% (EOS PriceLag: 0.01%) Latency: 347 / 347  Ping: 22 / 24 	Auto Price Down 	done 	-0.48 	0.64 	0.89 	12.28 	3.48 	21.73 	4.85 	3.92 	2.92 	0.11 	0 	0 	0.0 	0.0
GALA 	2021-11-25 07:58:58 	2021-11-25 07:59:03 	0.63012000 	0.63201000 	0.26 	5.2% 	5.2% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 30  AppLatency: 0.0 sec  API Req: 986 / 2400   API Orders: 7 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (DODO PriceLag: 0.04%) Latency: 180 / 180  Ping: 10 / 10 	Auto Price Down 	done 	-0.02 	0.44 	1.32 	13.62 	0.05 	20.52 	3.98 	2.69 	1.27 	0.08 	0 	0 	0.0 	0.0
LRC 	2021-11-25 01:58:32 	2021-11-25 01:58:36 	3.40571000 	3.41954000 	0.44 	18.3% 	18.3% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 23  AppLatency: 0.0 sec  API Req: 4 / 2400   API Orders: 1 / 1200  PriceLag: 0.01% (TLM PriceLag: 0.01%) [OrderSize increased by 20.00%: 100.00$ => 120.00$  ]  Latency: 213 / 213  Ping: 10 / 10 	Auto Price Down 	done 	0.14 	0.7 	0.58 	13.71 	0.03 	17.76 	4.52 	2.99 	1.73 	0.06 	0 	0 	0.0 	0.0
LRC 	2021-11-24 18:27:21 	2021-11-24 18:27:24 	2.94710000 	2.96179000 	0.46 	22.9% 	22.91% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 56  AppLatency: 0.1 sec  API Req: 361 / 2400   API Orders: 2 / 1200  PriceLag: 0.02% (RAY PriceLag: 0.02%) Latency: 284 / 284  Ping: 12 / 12 	Auto Price Down 	done 	0.02 	-0.47 	-1.66 	2.9 	0.95 	5.86 	1.89 	2.7 	1.92 	0.14 	0 	0 	0.0 	0.0
SKL 	2021-11-24 18:00:45 	2021-11-24 18:00:45 	0.37068000 	0.37563000 	1.27 	63.7% 	63.73% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 42  AppLatency: 0.1 sec  API Req: 904 / 2400   API Orders: 79 / 1200   Orders 10S: 16 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 230 / 230  Ping: 12 / 12 	Sell Price 	done 	0.53 	-0.32 	-1.21 	8.93 	0 	9.04 	5.19 	5.03 	3.59 	0.17 	6.9 	0 	0.0 	0.0
LRC 	2021-11-24 15:07:27 	2021-11-24 15:07:28 	2.96663000 	2.98740000 	0.65 	33.0% 	32.99% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 51  AppLatency: 0.0 sec  API Req: 448 / 2400   API Orders: 6 / 1200   Orders 10S: 5 / 300  PriceLag: 0.02% (DODO PriceLag: 0.04%) Latency: 225 / 276  Ping: 10 / 21 	Sell Price 	done 	-0.3 	-1.09 	-0.65 	0.96 	3.65 	6.36 	2.16 	2.65 	1.96 	0.1 	0 	0 	0.0 	0.0
1000SHIB 	2021-11-24 08:06:34 	2021-11-24 08:06:37 	0.03938800 	0.03895800 	-1.15 	-57.6% 	-57.55% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 41  AppLatency: 0.0 sec  API Req: 613 / 2400   API Orders: 8 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 296 / 296  Ping: 11 / 11 	StopLoss AutoActivated on price drop: BID = 0.03921 BidEMA: 0.03921 LastPrice = 0.03921 BuyPrice = 0.03939 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.0391 	done 	-0.21 	-0.73 	0.25 	0.52 	2.47 	3.55 	1.93 	2.43 	2.03 	0.09 	0 	0 	0.0 	0.0
CRV 	2021-11-23 11:35:09 	2021-11-23 11:35:12 	4.45500000 	4.48200000 	0.56 	28.3% 	28.29% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 68  AppLatency: 0.1 sec  API Req: 214 / 2400   API Orders: 20 / 1200   Orders 10S: 19 / 300  PriceLag: 0.02% (DODO PriceLag: 0.04%) Latency: 224 / 224  Ping: 19 / 19 	Auto Price Down 	done 	-0.7 	-1.95 	-1.29 	4.61 	0.57 	6.17 	2.19 	3.93 	2.71 	0.22 	0 	0 	0.0 	0.0
ALICE 	2021-11-23 09:01:22 	2021-11-23 09:01:32 	23.75900000 	23.77770000 	0.02 	0.9% 	0.93% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 36  AppLatency: 0.1 sec  API Req: 489 / 2400   API Orders: 16 / 1200   Orders 10S: 2 / 300  PriceLag: 0.02% (CTK PriceLag: 0.03%) Latency: 266 / 266  Ping: 12 / 16 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.07% < 0.3%  | EMA(3sec, 1sec) = 0.06% < 0.4%  | EMA(3sec, 1sec) = 0.06%  EMA(3sec, 1sec) = 0.06% 	done 	-0.13 	-1.23 	0.21 	8.07 	0 	15.08 	2.56 	2.2 	1.18 	0.11 	0 	0 	0.0 	0.0
CELR 	2021-11-22 07:46:08 	2021-11-22 07:46:09 	0.14650000 	0.14723000 	0.46 	22.9% 	22.91% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 46  AppLatency: 0.0 sec  API Req: 169 / 2400   API Orders: 9 / 1200   Orders 10S: 8 / 300  PriceLag: 0.02% (TLM PriceLag: 0.02%) Latency: 250 / 250  Ping: 12 / 11 	Auto Price Down 	done 	0.22 	-2.64 	-3.37 	1.3 	4.17 	15.33 	2.32 	2.36 	2.23 	0.08 	0 	0 	0.0 	0.0
LRC 	2021-11-22 01:55:24 	2021-11-22 01:55:26 	2.37465000 	2.36454000 	-0.48 	-24.3% 	-24.27% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 50  AppLatency: 0.1 sec  API Req: 513 / 2400   API Orders: 38 / 1200   Orders 10S: 11 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 255 / 255  Ping: 18 / 19 	StopLoss AutoActivated on price drop: BID = 2.3687 BidEMA: 2.3687 LastPrice = 2.3689 BuyPrice = 2.3747 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 2.3699 All 	done 	-0.83 	-0.91 	-0.45 	1.51 	1.65 	2.71 	2.36 	2.44 	1.54 	0.24 	0.01 	0 	0.0 	0.0
GALA 	2021-11-21 22:39:28 	2021-11-21 22:39:30 	0.36036000 	0.35755000 	-0.84 	-16.8% 	-16.79% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 30  AppLatency: 0.0 sec  API Req: 606 / 2400   API Orders: 23 / 1200   Orders 10S: 6 / 300  PriceLag: 0.01% (VET PriceLag: 0.02%) Latency: 274 / 274  Ping: 20 / 23 	StopLoss AutoActivated on price drop: BID = 0.3627 BidEMA: 0.3627 LastPrice = 0.3628 BuyPrice = 0.3604 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.3596 All 	done 	0.19 	0.51 	1.16 	0.44 	4.67 	11.01 	2.6 	3.26 	2.7 	0.09 	0 	0 	0.0 	0.0
CELR 	2021-11-21 20:09:02 	2021-11-21 20:09:02 	0.15183000 	0.15289000 	0.66 	32.9% 	32.89% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 22  AppLatency: 0.0 sec  API Req: 36 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (FLM PriceLag: 0.02%) Latency: 301 / 301  Ping: 10 / 10 	Sell Price 	done 	-0.35 	0.45 	1.58 	1.94 	6.65 	22.8 	6.44 	5.27 	3.33 	0.14 	0 	0 	0.0 	0.0
ATA 	2021-11-21 13:10:47 	2021-11-21 13:10:55 	1.07430000 	1.07750000 	0.26 	5.2% 	5.16% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.0 sec  API Req: 1038 / 2400   API Orders: 60 / 1200   Orders 10S: 18 / 300  PriceLag: 0.02% (BZRX PriceLag: 0.02%) Latency: 232 / 232  Ping: 11 / 10 	Auto Price Down 	done 	0.58 	0.61 	1.15 	7.12 	0.44 	7.66 	5.67 	2.33 	1.31 	0.09 	0 	0 	0.0 	0.0
AKRO 	2021-11-21 09:24:53 	2021-11-21 09:25:12 	0.03422000 	0.03392000 	-0.93 	-46.8% 	-46.81% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 24  AppLatency: 0.0 sec  API Req: 1067 / 2400   API Orders: 35 / 1200  PriceLag: 0.01% (STMX PriceLag: 0.02%) Latency: 213 / 213  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.03393 BidEMA: 0.03393 LastPrice = 0.03394 BuyPrice = 0.03422 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.0339 	done 	0.15 	0.5 	0.83 	8.71 	0.11 	8.83 	4.4 	2.7 	2.46 	0.07 	0 	0 	0.0 	0.0
SAND 	2021-11-21 06:38:28 	2021-11-21 06:38:43 	4.15077000 	4.13732000 	-0.38 	-19.2% 	-19.19% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 30  AppLatency: 0.0 sec  API Req: 610 / 2400   API Orders: 17 / 1200   Orders 10S: 5 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 288 / 288  Ping: 12 / 12 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.05% < 0.3%  | EMA(3sec, 1sec) = 0.06% < 0.4%  | EMA(3sec, 1sec) = 0.06%  EMA(3sec, 1sec) = 0.06% 	done 	-0.16 	-0.08 	0.01 	0.34 	2.02 	6.01 	1.71 	1.65 	1.12 	0.07 	0 	0 	0.0 	0.0
CELR 	2021-11-21 04:17:47 	2021-11-21 04:17:50 	0.12179000 	0.12227000 	0.33 	16.7% 	16.69% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 17  AppLatency: 0.0 sec  API Req: 996 / 2400   API Orders: 26 / 1200   Orders 10S: 7 / 300  PriceLag: 0.03% (XEM PriceLag: 0.03%) Latency: 199 / 199  Ping: 10 / 11 	Auto Price Down 	done 	-0.09 	0.89 	0.72 	4.53 	0.02 	7.51 	2.35 	2.98 	1.26 	0.03 	0 	0 	0.0 	0.0
SAND 	2021-11-20 18:18:43 	2021-11-20 18:18:50 	4.03372000 	4.04582000 	0.26 	13.0% 	12.99% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 36  AppLatency: 0.0 sec  API Req: 882 / 2400   API Orders: 40 / 1200   Orders 10S: 11 / 300  PriceLag: 0.01% (CRV PriceLag: 0.01%) Latency: 273 / 273  Ping: 10 / 10 	Auto Price Down 	done 	-0.27 	-1.19 	-1.57 	1.02 	2.43 	6.77 	2.56 	1.67 	1.43 	0.05 	0 	0 	0.0 	0.0
ONE 	2021-11-20 16:46:11 	2021-11-20 16:46:15 	0.29209000 	0.29297000 	0.24 	12.1% 	12.06% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 40  AppLatency: 0.1 sec  API Req: 254 / 2400   API Orders: 13 / 1200   Orders 10S: 12 / 300  PriceLag: 0.01% (KNC PriceLag: 0.03%) Latency: 240 / 240  Ping: 10 / 10 	Auto Price Down 	done 	-0.06 	0.29 	1.07 	3.24 	1.86 	9.23 	1.95 	1.59 	1.22 	0.04 	0 	0 	0.0 	0.0
1000SHIB 	2021-11-20 16:29:54 	2021-11-20 16:30:00 	0.04666700 	0.04680700 	0.26 	13.0% 	12.99% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 44  AppLatency: 0.1 sec  API Req: 1124 / 2400   API Orders: 43 / 1200   Orders 10S: 7 / 300  PriceLag: 0.03% (DGB PriceLag: 0.03%) Latency: 279 / 279  Ping: 18 / 19 	Auto Price Down 	done 	-0.18 	0.25 	0.98 	0.46 	3.48 	5.58 	3.43 	2.28 	2.04 	0.08 	0 	0 	0.0 	0.0
GALA 	2021-11-20 13:55:03 	2021-11-20 13:55:04 	0.36318000 	0.36530000 	0.52 	10.5% 	10.47% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 48  AppLatency: 0.0 sec  API Req: 65 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.02% (CTSI PriceLag: 0.02%) Latency: 289 / 289  Ping: 10 / 14 	Auto Price Down 	done 	0.16 	0.94 	2.3 	4.78 	3.92 	23.31 	5.57 	4.06 	2.66 	0.03 	0 	0 	0.0 	0.0
GALA 	2021-11-20 11:00:17 	2021-11-20 11:00:21 	0.35298000 	0.35456000 	0.39 	7.7% 	7.75% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 39  AppLatency: 0.0 sec  API Req: 373 / 2400   API Orders: 24 / 1200   Orders 10S: 9 / 300  PriceLag: 0.01% (AKRO PriceLag: 0.02%) Latency: 323 / 323  Ping: 11 / 10 	Auto Price Down 	done 	-0.01 	0.97 	2.45 	14.56 	1.96 	22.67 	2.78 	2.62 	2.48 	0.09 	0 	0 	0.0 	0.0
SAND 	2021-11-20 07:16:59 	2021-11-20 07:17:12 	4.10198000 	4.09361000 	-0.26 	-13.2% 	-13.2% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 33  AppLatency: 0.0 sec  API Req: 1145 / 2400   API Orders: 54 / 1200   Orders 10S: 15 / 300  PriceLag: 0.01% (CRV PriceLag: 0.01%) Latency: 310 / 310  Ping: 22 / 22 	StopLoss AutoActivated on price drop: BID = 4.0934 BidEMA: 4.0934 LastPrice = 4.0937 BuyPrice = 4.1020 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 4.0938 All 	done 	-0.18 	1.38 	1.89 	1.5 	2.66 	3.63 	2.96 	2.34 	1.64 	0.1 	0 	0 	0.0 	0.0
